,Unnamed: 0,text,labels
783,783,Add this entry into the data structure now.,INSERT
705,705,Place this data in the records.,INSERT
335,335,Delete the image.,DELETE
469,469,Erase all duplicates in the email records.,DELETE_CONDITIONED_BASED
192,192,Retrieve every log in the service monitoring table.,READ
765,765,Put this record into the table.,INSERT
571,571,LIST entries where the country is 'India'.,READ_CONDITION_BASED_DATA
150,150,Retrieve the full list of documents in the policies table.,READ
654,654,PULL records of customers who have spent more than $500 this year.,READ_CONDITION_BASED_DATA
194,194,Get the full records in the accident reports system.,READ
441,441,Delete the customers whose last purchase was over two years ago.,DELETE_CONDITIONED_BASED
614,614,DISPLAY all employees who work part-time.,READ_CONDITION_BASED_DATA
12,12,Add a collection named 'orders'.,CREATE
0,0,Create a database named 'parmar'.,CREATE
125,125,Read all available data in the subscriptions file.,READ
518,518,Delete files uploaded with incorrect formats.,DELETE_CONDITIONED_BASED
541,541,Erase temporary user sessions marked as expired.,DELETE_CONDITIONED_BASED
261,261,Edit the shift timings for staff working during weekends.,UPDATE
337,337,Delete the temporary files.,DELETE
784,784,Insert this information into the database now.,INSERT
750,750,Insert this record into the data structure.,INSERT
17,17,Create a collection with the name 'transactions'.,CREATE
319,319,Remove the document.,DELETE
552,552,FETCH records where the user’s age is between 25 and 40.,READ_CONDITION_BASED_DATA
197,197,Access every detail in the feedback collection.,READ
187,187,Retrieve all rows from the payment records file.,READ
562,562,LOOK UP users who haven’t logged in for 30 days.,READ_CONDITION_BASED_DATA
680,680,Insert this information into the record.,INSERT
162,162,Retrieve the complete set of data in the inventory file.,READ
742,742,Please insert this row into the collection.,INSERT
51,51,Add an API route titled 'create-user'.,CREATE
624,624,LOOK UP records where the product is 'out of stock'.,READ_CONDITION_BASED_DATA
227,227,Edit the titles of books published before the year 2000.,UPDATE
330,330,Delete the server logs.,DELETE
304,304,Update the availability status for meeting rooms already booked.,UPDATE
400,400,Delete the application data.,DELETE
255,255,Adjust the prices for products with fluctuating demand.,UPDATE
728,728,Please insert this object into the list.,INSERT
229,229,Update the warranty period for products purchased during the holiday sale.,UPDATE
141,141,Fetch the entire history of transactions.,READ
381,381,Delete the execution trace.,DELETE
753,753,Insert this object into the database immediately.,INSERT
340,340,Delete the cookies.,DELETE
217,217,Change the subscription plan for users with an expired membership.,UPDATE
66,66,Create a directory titled 'logs'.,CREATE
97,97,Set up a table schema in 'sales_data'.,CREATE
557,557,FETCH records where the city is 'New York'.,READ_CONDITION_BASED_DATA
449,449,Delete all logs older than 30 days.,DELETE_CONDITIONED_BASED
267,267,Edit the rewards for users with loyalty points above 1000.,UPDATE
369,369,Delete the framework.,DELETE
295,295,Set the archive status for documents older than five years.,UPDATE
499,499,Erase records where the status is 'pending approval'.,DELETE_CONDITIONED_BASED
92,92,Make an entry in the 'sessions' collection.,CREATE
690,690,Insert this item into the database.,INSERT
748,748,Insert this data into the records now.,INSERT
474,474,Delete data where the 'priority' column is set to low.,DELETE_CONDITIONED_BASED
523,523,Remove profiles without linked social accounts.,DELETE_CONDITIONED_BASED
525,525,Erase items added to cart but not purchased in 3 months.,DELETE_CONDITIONED_BASED
37,37,Create a new user profile for 'manager'.,CREATE
643,643,DISPLAY products that are available for international shipping.,READ_CONDITION_BASED_DATA
480,480,Remove inactive members from the mailing list.,DELETE_CONDITIONED_BASED
53,53,Build an API endpoint named 'post-feedback'.,CREATE
708,708,Put this record in the database.,INSERT
415,415,Delete the test case.,DELETE
746,746,Please insert this item into the data structure.,INSERT
268,268,Adjust the deadline for projects nearing completion.,UPDATE
777,777,Insert this record into the data structure now.,INSERT
