,Unnamed: 0,text,labels
0,0,Create a database named 'parmar'.,CREATE
1,1,Set up a new database called 'parmar'.,CREATE
2,2,Build a database named 'test_db'.,CREATE
3,3,Create a new database with the name 'my_data'.,CREATE
4,4,Generate a database titled 'student_records'.,CREATE
5,5,Make a database called 'sales'.,CREATE
6,6,Initialize a database named 'employees'.,CREATE
7,7,Start a database with the name 'products_db'.,CREATE
8,8,Establish a database titled 'reports'.,CREATE
9,9,Add a database called 'inventory'.,CREATE
10,10,Create a collection named 'rahul'.,CREATE
11,11,Set up a collection titled 'users'.,CREATE
12,12,Add a collection named 'orders'.,CREATE
13,13,Generate a collection called 'log_data'.,CREATE
14,14,Build a collection titled 'activity_logs'.,CREATE
15,15,Make a new collection named 'sessions'.,CREATE
16,16,Initialize a collection called 'feedbacks'.,CREATE
17,17,Create a collection with the name 'transactions'.,CREATE
18,18,Add a new collection titled 'items'.,CREATE
19,19,Set up a collection called 'comments'.,CREATE
20,20,Create a file named 'index.html'.,CREATE
21,21,Generate a file titled 'main.py'.,CREATE
22,22,Build a file named 'config.yaml'.,CREATE
23,23,Add a new file called 'app.js'.,CREATE
24,24,Initialize a file titled 'styles.css'.,CREATE
25,25,Set up a new file named 'script.js'.,CREATE
26,26,Create a file with the name 'README.md'.,CREATE
27,27,Make a new file called 'data.json'.,CREATE
28,28,Start a file named 'example.txt'.,CREATE
29,29,Establish a new file titled 'report.docx'.,CREATE
30,30,Create a user account named 'admin'.,CREATE
31,31,Set up a user profile for 'john_doe'.,CREATE
32,32,Add a new user called 'guest_user'.,CREATE
33,33,Generate a user account titled 'superadmin'.,CREATE
34,34,Build a user profile with the name 'jane_doe'.,CREATE
35,35,Make a new user named 'developer'.,CREATE
36,36,Initialize a user called 'team_lead'.,CREATE
37,37,Create a new user profile for 'manager'.,CREATE
38,38,Add a user account named 'tester'.,CREATE
39,39,Set up an account for 'qa_user'.,CREATE
40,40,Create a record in the table 'students'.,CREATE
41,41,Insert a record into the 'employees' table.,CREATE
42,42,Add an entry in the table 'products'.,CREATE
43,43,Generate a record in the table 'sales_data'.,CREATE
44,44,Insert a new row into 'user_info'.,CREATE
45,45,Add a new entry to the 'transactions' table.,CREATE
46,46,Make a record in the table 'feedbacks'.,CREATE
47,47,Create an entry for 'customer_details'.,CREATE
48,48,Add data into the 'order_items' table.,CREATE
49,49,Insert a new record in 'activity_logs'.,CREATE
50,50,Create an API endpoint called 'register'.,CREATE
51,51,Add an API route titled 'create-user'.,CREATE
52,52,Generate a new endpoint for 'add-product'.,CREATE
53,53,Build an API endpoint named 'post-feedback'.,CREATE
54,54,Set up a route for 'upload-file'.,CREATE
55,55,Create a new API endpoint called 'new-order'.,CREATE
56,56,Add a route named 'generate-report'.,CREATE
57,57,Make an endpoint for 'save-data'.,CREATE
58,58,Set up an API route for 'add-comment'.,CREATE
59,59,Initialize a new endpoint titled 'submit-form'.,CREATE
60,60,Create a folder named 'assets'.,CREATE
61,61,Add a directory called 'resources'.,CREATE
62,62,Generate a new folder titled 'images'.,CREATE
63,63,Make a folder named 'scripts'.,CREATE
64,64,Initialize a directory called 'docs'.,CREATE
65,65,Set up a folder with the name 'templates'.,CREATE
66,66,Create a directory titled 'logs'.,CREATE
67,67,Add a new folder named 'styles'.,CREATE
68,68,Make a directory called 'media'.,CREATE
69,69,Generate a folder titled 'backups'.,CREATE
70,70,Create a virtual machine named 'test_vm'.,CREATE
71,71,Set up a VM instance titled 'app_server'.,CREATE
72,72,Add a new virtual machine called 'dev_env'.,CREATE
73,73,Generate a VM titled 'database_server'.,CREATE
74,74,Initialize a virtual machine named 'web_server'.,CREATE
75,75,Make a VM instance titled 'qa_env'.,CREATE
76,76,Create a container named 'backend'.,CREATE
77,77,Set up a Docker container called 'api_service'.,CREATE
78,78,Add a container titled 'frontend_app'.,CREATE
79,79,Generate a container with the name 'worker_process'.,CREATE
80,80,Initialize a container called 'db_container'.,CREATE
81,81,Make a Docker image named 'nginx_proxy'.,CREATE
82,82,Build a container for 'redis_cache'.,CREATE
83,83,Add a container titled 'node_app'.,CREATE
84,84,Create a new container called 'data_processor'.,CREATE
85,85,Set up a container for 'background_jobs'.,CREATE
86,86,Create a document in the 'reports' collection.,CREATE
87,87,Add a record in 'activity_logs' collection.,CREATE
88,88,Insert a document into the 'users' collection.,CREATE
89,89,Generate a record for the 'feedbacks' collection.,CREATE
90,90,Create a new log entry in the 'transactions' collection.,CREATE
91,91,Add a document to the 'orders' collection.,CREATE
92,92,Make an entry in the 'sessions' collection.,CREATE
93,93,Insert a log into the 'audit_logs' collection.,CREATE
94,94,Generate a document in the 'comments' collection.,CREATE
95,95,Create a data entry in the 'inventory' collection.,CREATE
96,96,Create a new schema for the 'products' database.,CREATE
97,97,Set up a table schema in 'sales_data'.,CREATE
98,98,Define a new schema for 'user_profiles'.,CREATE
99,99,Add a schema for the 'transaction_logs'.,CREATE
100,100,Generate a table schema in 'analytics'.,CREATE
101,101,Make a schema for the 'order_items' table.,CREATE
102,102,Create a model schema for 'feedback'.,CREATE
103,103,Define a new schema for 'activity_data'.,CREATE
104,104,Set up a schema for 'comments'.,CREATE
105,105,Build a schema for the 'audit_logs'.,CREATE
106,106,Fetch all data from the users collection.,READ
107,107,Retrieve all records from the database.,READ
